epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2841,3.05975,3.5721,4.13972,0.00262,0.77931,0.009,0.00487,2.12761,4.15609,3.99425,0.000655738,0.000655738,0.000655738
2,19.0349,2.88774,3.05407,3.56806,0.51102,0.55172,0.46139,0.18698,2.34041,2.83732,3.4747,0.00129622,0.00129622,0.00129622
3,26.7649,2.37041,2.46229,2.95723,0.38532,0.42069,0.39122,0.17733,1.72663,2.45025,2.74568,0.0019103,0.0019103,0.0019103
4,34.4145,2.07077,1.92287,2.62806,0.63096,0.71928,0.6246,0.35751,1.6173,1.62882,2.51332,0.0018812,0.0018812,0.0018812
5,42.0913,1.88835,1.69714,2.45092,0.82895,0.63448,0.76433,0.44285,1.68471,2.41094,2.66317,0.0018416,0.0018416,0.0018416
6,49.7901,1.7907,1.47598,2.29802,0.94093,0.87884,0.94109,0.60748,1.34804,1.11071,2.13342,0.001802,0.001802,0.001802
7,57.5549,1.59303,1.26147,2.11305,0.9488,0.91034,0.93851,0.61779,1.24803,1.03976,2.10886,0.0017624,0.0017624,0.0017624
8,65.2479,1.51251,1.18063,2.02732,0.97951,0.90345,0.95825,0.60622,1.28602,0.94229,2.05334,0.0017228,0.0017228,0.0017228
9,72.7845,1.46228,1.15432,1.96685,0.92991,0.89655,0.94621,0.62181,1.26039,0.96067,1.97978,0.0016832,0.0016832,0.0016832
10,80.4229,1.42118,1.12366,1.92935,0.92336,0.93793,0.94785,0.68476,1.11555,0.90104,1.84068,0.0016436,0.0016436,0.0016436
11,88.0886,1.32012,1.02372,1.8444,0.93136,0.93576,0.95795,0.70378,0.97589,0.7274,1.85914,0.001604,0.001604,0.001604
12,95.7029,1.28624,0.96338,1.79096,0.93927,0.92414,0.97002,0.609,1.31755,0.86248,2.02793,0.0015644,0.0015644,0.0015644
13,103.322,1.2901,0.95253,1.77853,0.98551,0.93782,0.9677,0.63826,1.22325,0.7672,1.91118,0.0015248,0.0015248,0.0015248
14,110.972,1.2404,0.91473,1.74455,0.98058,0.94483,0.96995,0.70193,1.03596,0.66934,1.68031,0.0014852,0.0014852,0.0014852
15,118.683,1.19993,0.86236,1.69771,0.95757,0.94483,0.9692,0.66131,1.11464,0.72333,1.72956,0.0014456,0.0014456,0.0014456
16,126.341,1.18951,0.83438,1.68189,0.96454,0.95172,0.97396,0.64886,1.11467,0.7389,1.73447,0.001406,0.001406,0.001406
17,134.034,1.22406,0.84126,1.68634,0.89316,0.92246,0.95729,0.68382,0.91641,0.77525,1.63044,0.0013664,0.0013664,0.0013664
18,141.81,1.17304,0.82704,1.64794,0.97876,0.95337,0.97287,0.64868,1.08121,0.79916,1.68892,0.0013268,0.0013268,0.0013268
19,149.682,1.14451,0.81268,1.63669,0.95851,0.95862,0.97275,0.69001,1.08183,0.7218,1.77728,0.0012872,0.0012872,0.0012872
20,157.419,1.1113,0.7793,1.60904,0.98351,0.95172,0.97263,0.73588,0.87272,0.60836,1.6189,0.0012476,0.0012476,0.0012476
21,165.309,1.11414,0.7866,1.5921,0.98381,0.97241,0.98914,0.75714,0.83777,0.56165,1.52946,0.001208,0.001208,0.001208
22,173.133,1.09945,0.73685,1.58428,0.98589,0.96398,0.98526,0.74112,0.88471,0.58499,1.47105,0.0011684,0.0011684,0.0011684
23,180.878,1.07738,0.73597,1.54925,0.99004,0.95862,0.97514,0.71685,0.92266,0.6108,1.51856,0.0011288,0.0011288,0.0011288
24,188.668,1.08564,0.72355,1.55089,0.98596,0.96848,0.99206,0.73053,0.93706,0.56331,1.5503,0.0010892,0.0010892,0.0010892
25,196.36,1.05932,0.69505,1.54007,0.99601,0.95862,0.98883,0.7952,0.70266,0.50578,1.3216,0.0010496,0.0010496,0.0010496
26,204.193,1.00972,0.68276,1.50795,1,0.96469,0.98787,0.79109,0.73887,0.4821,1.36549,0.00101,0.00101,0.00101
27,212.055,0.97481,0.65755,1.47452,0.99296,0.97221,0.98672,0.75054,0.77077,0.54352,1.44748,0.0009704,0.0009704,0.0009704
28,219.911,1.00233,0.68309,1.48952,0.99105,0.97931,0.98347,0.79735,0.67338,0.46846,1.29938,0.0009308,0.0009308,0.0009308
29,227.816,0.99135,0.65978,1.47676,0.99294,0.97007,0.98936,0.83234,0.62016,0.4534,1.31294,0.0008912,0.0008912,0.0008912
30,235.646,0.96958,0.63676,1.46568,0.99305,0.98559,0.98839,0.7806,0.75284,0.47176,1.3468,0.0008516,0.0008516,0.0008516
31,243.552,0.9412,0.62608,1.43071,0.99902,0.98621,0.99423,0.79835,0.71174,0.45092,1.29308,0.000812,0.000812,0.000812
32,251.411,0.94422,0.61998,1.43775,0.99886,0.97931,0.99316,0.78769,0.74678,0.47421,1.3338,0.0007724,0.0007724,0.0007724
33,259.325,0.93129,0.62097,1.42467,0.9927,0.97931,0.99099,0.83488,0.58634,0.41602,1.22195,0.0007328,0.0007328,0.0007328
34,267.294,0.923,0.6166,1.42302,0.99945,0.97931,0.99241,0.81388,0.66373,0.43563,1.28667,0.0006932,0.0006932,0.0006932
35,275.247,0.9199,0.58957,1.4159,0.99742,0.97931,0.99168,0.80163,0.69199,0.43494,1.31352,0.0006536,0.0006536,0.0006536
36,283.179,0.88278,0.58148,1.38106,0.99914,0.97931,0.9912,0.85339,0.56426,0.38754,1.17296,0.000614,0.000614,0.000614
37,291.153,0.87806,0.56487,1.38017,0.993,0.97858,0.99353,0.77337,0.76801,0.45694,1.3517,0.0005744,0.0005744,0.0005744
38,299.118,0.88375,0.57858,1.38501,1,0.97895,0.99057,0.84178,0.57855,0.43342,1.16813,0.0005348,0.0005348,0.0005348
39,307.003,0.85547,0.55775,1.36697,0.99732,0.97931,0.98953,0.84767,0.55481,0.36973,1.16515,0.0004952,0.0004952,0.0004952
40,314.956,0.85565,0.55347,1.36303,1,0.97794,0.99086,0.86149,0.54865,0.38229,1.16906,0.0004556,0.0004556,0.0004556
41,323.486,0.69271,0.44486,1.26672,0.99244,0.98621,0.99293,0.86745,0.5565,0.37113,1.16715,0.000416,0.000416,0.000416
42,331.449,0.68408,0.42162,1.27354,0.99633,0.97931,0.99349,0.86788,0.52227,0.37654,1.11313,0.0003764,0.0003764,0.0003764
43,339.335,0.64506,0.39418,1.21551,0.99158,0.98621,0.99376,0.84916,0.60871,0.39017,1.18983,0.0003368,0.0003368,0.0003368
44,347.244,0.64814,0.39298,1.23251,0.99305,0.98592,0.99428,0.84584,0.61722,0.3738,1.18126,0.0002972,0.0002972,0.0002972
45,355.135,0.62188,0.37308,1.21247,0.99955,0.98621,0.99304,0.88445,0.47845,0.33517,1.07833,0.0002576,0.0002576,0.0002576
46,363.165,0.62983,0.36788,1.21673,0.99712,0.97931,0.99354,0.86855,0.50761,0.3485,1.08018,0.000218,0.000218,0.000218
