epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8091,3.05345,3.58195,4.1498,0.00262,0.77931,0.0069,0.00386,2.14262,3.69295,4.08775,0.000655738,0.000655738,0.000655738
2,23.4963,2.88809,3.047,3.58623,0.34096,0.31724,0.25823,0.11904,2.10164,2.96067,3.44388,0.00129622,0.00129622,0.00129622
3,33.9614,2.47769,2.42995,3.03351,0.47002,0.41379,0.28071,0.14368,2.2888,3.5062,3.5735,0.0019103,0.0019103,0.0019103
4,44.0522,2.07665,1.86695,2.61682,0.75108,0.77241,0.7681,0.4398,1.53554,2.88973,2.41919,0.0018812,0.0018812,0.0018812
5,54.3337,1.83839,1.56839,2.34459,0.68191,0.72414,0.80278,0.43683,1.68885,1.9822,2.51275,0.0018416,0.0018416,0.0018416
6,64.7724,1.68285,1.35347,2.15485,0.85716,0.89655,0.89048,0.53342,1.35715,1.12795,2.13382,0.001802,0.001802,0.001802
7,74.2835,1.56865,1.21701,2.01411,0.86749,0.87586,0.89873,0.57232,1.42311,1.14398,2.09191,0.0017624,0.0017624,0.0017624
8,84.1953,1.52931,1.15228,1.97827,0.86305,0.82579,0.8888,0.48935,1.55189,1.08166,2.16489,0.0017228,0.0017228,0.0017228
9,94.5453,1.48226,1.09357,1.90511,0.94054,0.8728,0.94043,0.66408,1.1209,1.00298,1.92171,0.0016832,0.0016832,0.0016832
10,104.896,1.44224,1.11129,1.87002,0.93295,0.91724,0.9507,0.651,1.18887,0.85992,1.86019,0.0016436,0.0016436,0.0016436
11,114.831,1.33276,0.97068,1.77762,0.91071,0.91448,0.9501,0.61822,1.30299,0.85808,2.07752,0.001604,0.001604,0.001604
12,125.015,1.31547,0.94094,1.74473,0.939,0.93793,0.96976,0.62165,1.29888,0.83046,1.934,0.0015644,0.0015644,0.0015644
13,135.367,1.29872,0.93451,1.72147,0.95107,0.93845,0.96118,0.59484,1.4148,0.83254,2.04583,0.0015248,0.0015248,0.0015248
14,146.011,1.27658,0.90065,1.69812,0.96102,0.94483,0.97221,0.69234,1.12393,0.7686,1.72717,0.0014852,0.0014852,0.0014852
15,155.923,1.23217,0.85732,1.66433,0.97004,0.95172,0.97209,0.65024,1.30579,0.70855,1.90746,0.0014456,0.0014456,0.0014456
16,165.625,1.19317,0.82752,1.61625,0.98239,0.93793,0.9764,0.70767,0.97563,0.6906,1.58664,0.001406,0.001406,0.001406
17,175.933,1.21669,0.82682,1.61816,0.94202,0.95172,0.97547,0.62757,1.25978,0.76847,1.90242,0.0013664,0.0013664,0.0013664
18,185.978,1.14845,0.77437,1.57539,0.98428,0.95172,0.97473,0.66111,1.1474,0.69233,1.70516,0.0013268,0.0013268,0.0013268
19,195.979,1.11575,0.7595,1.54966,0.98029,0.95862,0.97726,0.74197,0.90131,0.58086,1.49257,0.0012872,0.0012872,0.0012872
20,205.79,1.10316,0.7411,1.52396,0.97239,0.97168,0.98003,0.75779,0.81105,0.54152,1.44178,0.0012476,0.0012476,0.0012476
21,216.008,1.1191,0.75621,1.53396,0.95588,0.95862,0.98283,0.75421,0.84328,0.59505,1.5652,0.001208,0.001208,0.001208
22,226.404,1.06961,0.70751,1.50685,1,0.96288,0.98756,0.73202,0.82256,0.60694,1.49014,0.0011684,0.0011684,0.0011684
23,236.047,1.0774,0.69894,1.49102,0.99291,0.96604,0.98464,0.6863,1.0153,0.5933,1.55281,0.0011288,0.0011288,0.0011288
24,245.778,1.07751,0.69935,1.48666,0.98587,0.96208,0.9925,0.74583,0.84901,0.55625,1.39861,0.0010892,0.0010892,0.0010892
25,255.861,1.03516,0.68772,1.48463,0.97836,0.97241,0.9925,0.76799,0.77904,0.54069,1.38292,0.0010496,0.0010496,0.0010496
26,265.995,1.03674,0.66369,1.47251,0.98598,0.97021,0.98931,0.77204,0.84161,0.54046,1.42784,0.00101,0.00101,0.00101
27,276.445,0.97642,0.64556,1.41938,0.97241,0.97233,0.99019,0.78958,0.77607,0.6124,1.56882,0.0009704,0.0009704,0.0009704
28,286.382,1.00141,0.65815,1.43141,0.98602,0.97281,0.99274,0.80289,0.67392,0.50279,1.33748,0.0009308,0.0009308,0.0009308
29,296.38,0.99084,0.63189,1.42997,0.99815,0.97241,0.99277,0.76749,0.84202,0.50365,1.42404,0.0008912,0.0008912,0.0008912
30,307.26,0.9792,0.6318,1.41517,0.97786,0.98621,0.99277,0.79781,0.67922,0.45782,1.28992,0.0008516,0.0008516,0.0008516
31,316.997,0.95521,0.61614,1.38929,0.99301,0.97989,0.99175,0.79031,0.72934,0.47296,1.30015,0.000812,0.000812,0.000812
32,326.856,0.94427,0.596,1.3841,0.99757,0.98621,0.99394,0.7839,0.73051,0.49657,1.30482,0.0007724,0.0007724,0.0007724
33,337.217,0.93869,0.60394,1.37948,0.99301,0.97906,0.99434,0.82539,0.62599,0.42575,1.28876,0.0007328,0.0007328,0.0007328
34,347.451,0.92865,0.59326,1.37468,0.97481,0.97931,0.9927,0.83029,0.6317,0.4307,1.23251,0.0006932,0.0006932,0.0006932
35,357.829,0.91657,0.5708,1.36351,0.99414,0.97241,0.99446,0.79194,0.71827,0.45885,1.28939,0.0006536,0.0006536,0.0006536
36,367.882,0.89803,0.56889,1.34778,0.98461,0.98621,0.99386,0.82625,0.62027,0.43094,1.25461,0.000614,0.000614,0.000614
37,378.013,0.88625,0.56163,1.3422,0.98604,0.97452,0.9908,0.77175,0.76228,0.48044,1.31343,0.0005744,0.0005744,0.0005744
38,388.213,0.90071,0.56673,1.3518,1,0.9787,0.99407,0.84131,0.59582,0.42196,1.19995,0.0005348,0.0005348,0.0005348
39,398.197,0.88534,0.55821,1.33488,0.98972,0.97931,0.99254,0.83111,0.58886,0.42141,1.1807,0.0004952,0.0004952,0.0004952
40,408.273,0.85712,0.54424,1.31865,0.99197,0.98621,0.99399,0.83033,0.62661,0.4204,1.24807,0.0004556,0.0004556,0.0004556
41,442.41,0.72937,0.47194,1.26832,0.98493,0.98621,0.99094,0.84286,0.59651,0.4111,1.19863,0.000416,0.000416,0.000416
42,451.953,0.69207,0.43297,1.2629,0.99686,0.97931,0.99359,0.85693,0.55596,0.40234,1.14627,0.0003764,0.0003764,0.0003764
43,462.264,0.68095,0.41091,1.22009,0.99931,0.98621,0.99466,0.86458,0.53518,0.38208,1.13055,0.0003368,0.0003368,0.0003368
44,472.117,0.66982,0.40102,1.23056,0.99238,0.98621,0.9938,0.81654,0.69479,0.42418,1.24463,0.0002972,0.0002972,0.0002972
45,482.03,0.65628,0.39218,1.22084,0.99852,0.98621,0.99423,0.87989,0.49573,0.35002,1.09036,0.0002576,0.0002576,0.0002576
46,492.816,0.64333,0.37998,1.20893,0.9981,0.98621,0.993,0.87145,0.5354,0.36895,1.10649,0.000218,0.000218,0.000218
47,502.539,0.6349,0.37329,1.19523,0.99963,0.98621,0.99323,0.87744,0.51029,0.35841,1.10057,0.0001784,0.0001784,0.0001784
